date,text,sentiment,subjectivity,polarity
2020-03-24 21:20:15,I'm a miserable programmer! #coronavirus #programming,"Sentiment(polarity=-1.0, subjectivity=1.0)",1.0,-1.0
2020-03-24 20:52:17,This is amazing! The Serbian national orchestra plays the Italian Resistance song ‘Bella ciao’ in solidarity with #Italy in this #coronavirus crisis. ,"Sentiment(polarity=0.37500000000000006, subjectivity=0.45)",0.45,0.37500000000000006
2020-03-24 20:20:11," MATH PREDICTIONS FOR COVID-19 AS A GLOBAL PANDEMIC » https://www.medrxiv.org/content/10.1101/2020.03.19.20038794v1.full.pdf Unless there is a dedicated effort from government, decision makers and stakeholders, the world would hardly be reed of the #COVID19 #coronavirus. Further spread is eminent in the absence of #vaccine.","Sentiment(polarity=-0.07604166666666667, subjectivity=0.26041666666666663)",0.26041666666666663,-0.07604166666666667
2020-03-24 20:08:08,"If Canadian banks want to help consumers in times of the #coronavirus crisis, why don't they drop insane credit card rates, at 20%, to 5% or less for a few months? With interest rates near zero, current rates are robbery and nasty. @RBC @StackhouseJohn","Sentiment(polarity=-0.37777777777777777, subjectivity=0.49444444444444446)",0.49444444444444446,-0.37777777777777777
2020-03-24 19:59:27,"Join #PopeFrancis and Christians around the world as we pray the Our Father together against the #coronavirus pandemic on Wednesday, 25 March, at 12 PM Rome time. ","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2020-03-24 17:12:36,"BREAKING: #Italy's death toll is once again near the global record for single-day deaths: 743 people died in the last 24 hours from #Coronavirus raising the country's total deaths to 6,820. The last record-breaking day was Saturday with 793. What an appalling tragedy. #COVID19","Sentiment(polarity=-0.041666666666666664, subjectivity=0.36388888888888893)",0.36388888888888893,-0.041666666666666664
2020-03-24 17:11:28,"Today (March 24th) the daily percentage growth of confirmed #COVID19 cases in Italy is 8.21%, from 63,927 to 69,176. The absolute increase amounts to 5249 cases and it is the second lowest in the last 6 days. See the graph on daily % growth. #coronavirus #COVIDー19 pic.twitter.com/NQDwDoRvyg","Sentiment(polarity=0.10000000000000002, subjectivity=0.3277777777777778)",0.3277777777777778,0.10000000000000002
2020-03-24 15:51:17,"It's Corona, bitch! #coronavirus pic.twitter.com/vbEgF6odiz","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2020-03-24 12:51:55,We’re not yet done with #coronavirus and #hantavirus and #birdflu have already appeared !,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2020-03-24 11:09:56, Credits: Unknown / Sconosciuto #Coronavirus #CoronavirusItalia #quarantena,"Sentiment(polarity=-0.1, subjectivity=0.6)",0.6,-0.1
2020-03-24 10:56:24,A new player has entered the game #Hantavirus #QuaratineLife #Coronavirus ,"Sentiment(polarity=-0.13181818181818183, subjectivity=0.42727272727272725)",0.42727272727272725,-0.13181818181818183
2020-03-24 10:30:59,"""Two milks? Yeah I'll be back in 3 hours"" #COVID19 #coronavirus ","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2020-03-24 09:58:19,Pray for peace #COVID19 #coronavirus ,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2020-03-24 06:14:49,RIP. A true man of faith and love . #coronavirus ,"Sentiment(polarity=0.425, subjectivity=0.625)",0.625,0.425
2020-03-24 04:14:01,PLEASE READ This is a great analysis. This kind of information is too crucial and must be read and thought about by as many people as possible. https://amp.ft.com/content/19d90308-6858-11ea-a3c9-1fe6fedcca75?__twitter_impression=true #coronavirus #COVID19,"Sentiment(polarity=0.38, subjectivity=0.8300000000000001)",0.8300000000000001,0.38
2020-03-23 21:45:18,"The Secretary-General is absolutely right. Now, more than ever, the world needs peace. Stop the wars. Thank you @antoniogutteres! #COVID19 #coronavirus ","Sentiment(polarity=0.45535714285714285, subjectivity=0.5178571428571428)",0.5178571428571428,0.45535714285714285
